code,name,market
1684,ＷｉｓｄｏｍＴｒｅｅ　ブロード上場投資信託,11
1685,ＷｉｓｄｏｍＴｒｅｅ　エネルギー上場投資信託,11
1686,ＷｉｓｄｏｍＴｒｅｅ　産業用金属上場投資信託,11
1687,ＷｉｓｄｏｍＴｒｅｅ　農産物上場投資信託,11
1688,ＷｉｓｄｏｍＴｒｅｅ　穀物上場投資信託,11
1689,ＷｉｓｄｏｍＴｒｅｅ　天然ガス上場投資信託,11
168A,イタミアート,3
1690,ＷｉｓｄｏｍＴｒｅｅ　ＷＴＩ　原油上場投資信託,11
1691,ＷｉｓｄｏｍＴｒｅｅ　ガソリン上場投資信託,11
1692,ＷｉｓｄｏｍＴｒｅｅ　アルミニウム上場投資信託,11
1693,ＷｉｓｄｏｍＴｒｅｅ　銅上場投資信託,11
1694,ＷｉｓｄｏｍＴｒｅｅ　ニッケル上場投資信託,11
1695,ＷｉｓｄｏｍＴｒｅｅ　小麦上場投資信託,11
1696,ＷｉｓｄｏｍＴｒｅｅ　とうもろこし上場投資信託,11
1697,ＷｉｓｄｏｍＴｒｅｅ　大豆上場投資信託,11
1698,上場インデックスファンド日本高配当（東証配当フォーカス１００）,11
1699,ＮＥＸＴ　ＦＵＮＤＳ　ＮＯＭＵＲＡ　原油インデックス連動型上場投信,11
170A,ＳＭＴ　ＥＴＦ日本好配当株アクティブ,11
1711,ＳＤＳホールディングス,2
1712,ダイセキ環境ソリューション,2
1716,第一カッター興業,2
1717,明豊ファシリティワークス,2
1718,美樹工業,2
1719,安藤・間,1
1720,東急建設,1
1721,コムシスホールディングス,1
1723,日本電技,2
1724,シンクレイヤ,2
1726,ビーアールホールディングス,1
1730,麻生フオームクリート,2
1736,オーテック,2
173A,ハンモック,3
1743,コーアツ工業,2
1757,創建エース,2
1758,太洋基礎工業,2
175A,Ｗｉｌｌ　Ｓｍａｒｔ,3
1762,高松コンストラクショングループ,1
1764,工藤建設,2
1766,東建コーポレーション,1
1768,ソネック,2
176A,レジル,3
1770,藤田エンジニアリング,2
1776,三井住建道路,2
177A,コージンバイオ,3
1780,ヤマウラ,1
1783,ｆａｎｔａｓｉｓｔａ,2
1786,オリエンタル白石,1
1787,ナカボーテック,2
1788,三東工業社,2
178A,グローバルＸ　革新的優良企業　ＥＴＦ,11
1793,大本組,2
1795,マサル,2
1798,守谷商会,2
1799,第一建設工業,2
179A,グローバルＸ　超長期米国債　ＥＴＦ（為替ヘッジあり）,11
1801,大成建設,1
1802,大林組,1
1803,清水建設,1
1807,佐藤渡辺,2
1808,長谷工コーポレーション,1
180A,グローバルＸ　超長期米国債　ＥＴＦ,11
1810,松井建設,2
1811,錢高組,2
1812,鹿島建設,1
1813,不動テトラ,1
1814,大末建設,1
1815,鉄建建設,1
181A,ＭＡＸＩＳ米国国債１－３年上場投信（為替ヘッジなし）,11
1820,西松建設,1
1821,三井住友建設,1
1822,大豊建設,2
1826,佐田建設,2
1827,ナカノフドー建設,2
1828,田辺工業,2
182A,ＭＡＸＩＳ米国国債２０年超上場投信（為替ヘッジなし）,11
1833,奥村組,1
1835,東鉄工業,1
183A,ＭＡＸＩＳ米国国債２０年超上場投信（為替ヘッジあり）,11
1840,土屋ホールディングス,2
1841,サンユー建設,2
1844,大盛工業,2
1847,イチケン,2
1848,富士ピー・エス,2
184A,学びエイド,3
1850,南海辰村建設,2
1852,淺沼組,1
1853,森組,2
1860,戸田建設,1
1861,熊谷組,1
1866,北野建設,2
1867,植木組,2
186A,アストロスケールホールディングス,3
1870,矢作建設工業,1
1871,ピーエス・コンストラクション,1
1873,日本ハウスホールディングス,1
1878,大東建託,1
1879,新日本建設,1
1882,東亜道路工業,1
1884,日本道路,1
1885,東亜建設工業,1
1887,日本国土開発,1
1888,若築建設,1
188A,グローバルＸ　インド・トップ１０＋　ＥＴＦ,11
1890,東洋建設,1
1893,五洋建設,1
1897,金下建設,2
1898,世紀東急工業,1
1899,福田組,1
189A,Ｄ＆Ｍカンパニー,3
1904,大成温調,2
1905,テノックス,2
1909,日本ドライケミカル,2
190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,3
1911,住友林業,1
1914,日本基礎技術,2
1921,巴コーポレーション,2
1925,大和ハウス工業,1
1926,ライト工業,1
1928,積水ハウス,1
1929,日特建設,1
192A,インテグループ,3
1930,北陸電気工事,1
1934,ユアテック,1
1938,日本リーテック,1
1939,四電工,1
1941,中電工,1
1942,関電工,1
1944,きんでん,1
1945,東京エネシス,1
1946,トーエネック,1
1948,弘電社,2
1949,住友電設,1
194A,ＷＯＬＶＥＳ　ＨＡＮＤ,3
1950,日本電設工業,1
1951,エクシオグループ,1
1952,新日本空調,1
1959,九電工,1
195A,ライスカレー,3
1960,サンテック,2
1961,三機工業,1
1963,日揮ホールディングス,1
1964,中外炉工業,1
1965,テクノ菱和,2
1966,高田工業所,2
1967,ヤマト,2
1968,太平電業,1
1969,高砂熱学工業,1
196A,ＭＦＳ,3
1972,三晃金属工業,2
1973,ＮＥＣネッツエスアイ,1
1975,朝日工業社,1
1976,明星工業,1
1979,大氣社,1
197A,タウンズ,2
1980,ダイダン,1
1981,協和日成,2
1982,日比谷総合設備,1
198A,ＰｏｓｔＰｒｉｍｅ,3
1992,神田通信機,2
1994,高橋カーテンウォール工業,2
1997,暁飯島工業,2
2001,ニップン,1
2002,日清製粉グループ本社,1
2003,日東富士製粉,2
2004,昭和産業,1
2009,鳥越製粉,2
200A,ＮＥＸＴ　ＦＵＮＤＳ　日経半導体株指数連動型上場投信,11
2011,ＳＭＤＡＭ　Ａｃｔｉｖｅ　ＥＴＦ　日本高配当株式,11
2012,ｉシェアーズ　米国債０－３ヶ月　ＥＴＦ,11
2013,ｉシェアーズ　米国高配当株　ＥＴＦ,11
2014,ｉシェアーズ　米国連続増配株　ＥＴＦ,11
2015,ｉＦｒｅｅＥＴＦ　米国国債７－１０年（為替ヘッジなし）,11
2016,ｉＦｒｅｅＥＴＦ　米国国債７－１０年（為替ヘッジあり）,11
2017,ｉＦｒｅｅＥＴＦ　ＪＰＸプライム１５０,11
2018,グローバルＸ　ＵＳ　ＲＥＩＴ・トップ２０　ＥＴＦ,11
2019,グローバルＸ　米国優先証券　ＥＴＦ（隔月分配型）,11
201A,ｉシェアーズ　Ｎｉｆｔｙ　５０　インド株　ＥＴＦ,11
202A,豆蔵デジタルホールディングス,3
2031,ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ダブル・ブル　ＥＴＮ,11
2032,ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ベア　ＥＴＮ,11
2033,ＮＥＸＴ　ＮＯＴＥＳ　韓国ＫＯＳＰＩ・ダブル・ブル　ＥＴＮ,11
2034,ＮＥＸＴ　ＮＯＴＥＳ　韓国ＫＯＳＰＩ・ベア　ＥＴＮ,11
2036,ＮＥＸＴ　ＮＯＴＥＳ　金先物　ダブル・ブル　ＥＴＮ,11
2037,ＮＥＸＴ　ＮＯＴＥＳ　金先物　ベア　ＥＴＮ,11
2038,ＮＥＸＴ　ＮＯＴＥＳ　ドバイ原油先物　ダブル・ブル　ＥＴＮ,11
2039,ＮＥＸＴ　ＮＯＴＥＳ　ドバイ原油先物　ベア　ＥＴＮ,11
2040,ＮＥＸＴ　ＮＯＴＥＳ　ＮＹダウ・ダブル・ブル・ドルヘッジ　ＥＴＮ,11
2041,ＮＥＸＴ　ＮＯＴＥＳ　ＮＹダウ・ベア・ドルヘッジ　ＥＴＮ,11
2042,ＮＥＸＴ　ＮＯＴＥＳ　東証グロース市場２５０　ＥＴＮ,11
2043,ＮＥＸＴ　ＮＯＴＥＳ　ＳＴＯＸＸ　アセアン好配当５０（円、ネットリターン）ＥＴＮ,11
2044,ＮＥＸＴ　ＮＯＴＥＳ　Ｓ＆Ｐ５００　配当貴族（ネットリターン）　ＥＴＮ,11
2045,ＮＥＸＴ　ＮＯＴＥＳ　Ｓ＆Ｐ　シンガポール　リート（ネットリターン）　ＥＴＮ,11
2046,ＮＥＸＴ　ＮＯＴＥＳ　インドＮｉｆｔｙ・ダブル・ブル　ＥＴＮ,11
2047,ＮＥＸＴ　ＮＯＴＥＳ　インドＮｉｆｔｙ・ベア　ＥＴＮ,11
2048,ＮＥＸＴ　ＮＯＴＥＳ　野村日本株高配当７０（ドルヘッジ、ネットリターン）ＥＴＮ,11
2050,ＮＥＸＴ　ＮＯＴＥＳ　ニッチトップ　中小型日本株（ネットリターン）ＥＴＮ,11
2053,中部飼料,1
2055,日和産業,2
205A,ロゴスホールディングス,3
2060,フィード・ワン,1
2065,ＮＥＸＴ　ＮＯＴＥＳ　日本株配当貴族（ドルヘッジ、ネットリターン）ＥＴＮ,11
2066,ＮＥＸＴ　ＮＯＴＥＳ　東証ＲＥＩＴ（ドルヘッジ、ネットリターン）ＥＴＮ,11
2067,ＮＥＸＴ　ＮＯＴＥＳ　野村ＡＩビジネス７０（ネットリターン）ＥＴＮ,11
2068,ＮＥＸＴ　ＮＯＴＥＳ　高ベータ３０（ネットリターン）ＥＴＮ,11
2069,ＮＥＸＴ　ＮＯＴＥＳ　低ベータ５０（ネットリターン）ＥＴＮ,11
206A,ＰＲＩＳＭ　ＢｉｏＬａｂ,3
2070,スマートＥＳＧ３０女性活躍（ネットリターン）ＥＴＮ,11
2071,スマートＥＳＧ３０総合（ネットリターン）ＥＴＮ,11
2072,トップシェアインデックス（ネットリターン）ＥＴＮ,11
2073,スマートＥＳＧ３０低カーボンリスク（ネットリターン）ＥＴＮ,11
2080,ＰＢＲ１倍割れ解消推進ＥＴＦ,11
2081,政策保有解消推進ＥＴＦ,11
2082,投資家経営者一心同体ＥＴＦ,11
2083,ＮＥＸＴ　ＦＵＮＤＳ　日本成長株アクティブ上場投信,11
2084,ＮＥＸＴ　ＦＵＮＤＳ　日本高配当株アクティブ上場投信,11
2085,ＭＡＸＩＳ高配当日本株アクティブ上場投信,11
2086,ＮＺＡＭ　上場投信　Ｓ＆Ｐ５００（為替ヘッジあり）,11
2087,ＮＺＡＭ　上場投信　ＮＡＳＤＡＱ１００（為替ヘッジあり）,11
2088,ＮＺＡＭ　上場投信　ＮＹダウ３０（為替ヘッジあり）,11
2089,ＮＺＡＭ　上場投信　ＤＡＸ（為替ヘッジあり）,11
208A,構造計画研究所ホールディングス,2
2090,ＮＺＡＭ　上場投信　米国国債７－１０年（為替ヘッジあり）,11
